Subject,Accuracy,Kappa
1,0.6722222222222223,0.34444444444444444
2,0.5705882352941176,0.14117647058823535
3,0.5472222222222223,0.09444444444444444
4,0.7702702702702703,0.5405405405405406
5,0.7256756756756757,0.4513513513513514
6,0.7833333333333333,0.5666666666666667
7,0.6791666666666667,0.3583333333333333
8,0.6618421052631579,0.3236842105263158
9,0.7305555555555555,0.46111111111111114
