Subject,CSP Accuracy,Kappa CSP,EEGNet Accuracy (μ±σ),Kappa EEGNet (μ±σ),Δ Accuracy,Δ Kappa
1,0.6722,0.3444,0.7491±0.0026,0.4981±0.0052,+0.0769,+0.1537
2,0.5706,0.1412,0.5941±0.0304,0.1882±0.0609,+0.0235,+0.0471
3,0.5472,0.0944,0.5755±0.0029,0.1509±0.0057,+0.0282,+0.0565
4,0.7703,0.5405,0.8072±0.0034,0.6144±0.0067,+0.0369,+0.0739
5,0.7257,0.4514,0.7221±0.0259,0.4441±0.0518,-0.0036,-0.0072
6,0.7833,0.5667,0.7894±0.0026,0.5787±0.0052,+0.0060,+0.0120
7,0.6792,0.3583,0.7491±0.0017,0.4981±0.0035,+0.0699,+0.1398
8,0.6618,0.3237,0.7136±0.0025,0.4272±0.0050,+0.0518,+0.1035
9,0.7306,0.4611,0.6991±0.0597,0.3981±0.1194,-0.0315,-0.0630
