Subject,Accuracy,Kappa
1,0.6319444444444444,0.26388888888888884
2,0.5486111111111112,0.09722222222222221
3,0.6041666666666666,0.20833333333333337
4,0.5208333333333334,0.04166666666666663
5,0.5208333333333334,0.04166666666666663
6,0.5555555555555556,0.11111111111111116
7,0.6041666666666666,0.20833333333333337
8,0.7013888888888888,0.4027777777777778
9,0.7638888888888888,0.5277777777777778
